Fecha;FK_TipoDato;Anyo;Valor;Secreto;REF_ID_RELACIONAL;Trimestre;Promedio_Trimestral
2017-08-31 22:00:00;1;2017;1,8;False;IPC251856;4;1,7
2017-09-30 22:00:00;1;2017;1,6;False;IPC251856;4;1,7
2017-10-31 23:00:00;1;2017;1,7;False;IPC251856;1;1,4
2017-11-30 23:00:00;1;2017;1,1;False;IPC251856;1;1,4
2017-12-31 23:00:00;1;2018;0,6;False;IPC251856;1;1,2
2018-01-31 23:00:00;1;2018;1,1;False;IPC251856;2;1,1
2018-02-28 23:00:00;1;2018;1,2;False;IPC251856;2;1,1
2018-03-31 22:00:00;1;2018;1,1;False;IPC251856;2;1,1
2018-04-30 22:00:00;1;2018;2,1;False;IPC251856;3;2,2
2018-05-31 22:00:00;1;2018;2,3;False;IPC251856;3;2,2
2018-06-30 22:00:00;1;2018;2,2;False;IPC251856;3;2,2
2018-07-31 22:00:00;1;2018;2,2;False;IPC251856;4;2,3
2018-08-31 22:00:00;1;2018;2,3;False;IPC251856;4;2,3
2018-09-30 22:00:00;1;2018;2,3;False;IPC251856;4;2,3
2018-10-31 23:00:00;1;2018;1,7;False;IPC251856;1;1,2
2018-11-30 23:00:00;1;2018;1,2;False;IPC251856;1;1,2
2018-12-31 23:00:00;1;2019;1,0;False;IPC251856;1;0,7
2019-01-31 23:00:00;1;2019;1,1;False;IPC251856;2;1,3
2019-02-28 23:00:00;1;2019;1,3;False;IPC251856;2;1,3
2019-03-31 22:00:00;1;2019;1,5;False;IPC251856;2;1,3
2019-04-30 22:00:00;1;2019;0,8;False;IPC251856;3;0,6
2019-05-31 22:00:00;1;2019;0,4;False;IPC251856;3;0,6
2019-06-30 22:00:00;1;2019;0,5;False;IPC251856;3;0,6
2019-07-31 22:00:00;1;2019;0,3;False;IPC251856;4;0,2
2019-08-31 22:00:00;1;2019;0,1;False;IPC251856;4;0,2
2019-09-30 22:00:00;1;2019;0,1;False;IPC251856;4;0,2
2019-10-31 23:00:00;1;2019;0,4;False;IPC251856;1;0,7
2019-11-30 23:00:00;1;2019;0,8;False;IPC251856;1;0,7
2019-12-31 23:00:00;1;2020;1,1;False;IPC251856;1;-0,1
2020-01-31 23:00:00;1;2020;0,7;False;IPC251856;2;0,0
2020-02-29 23:00:00;1;2020;0,0;False;IPC251856;2;0,0
2020-03-31 22:00:00;1;2020;-0,7;False;IPC251856;2;0,0
2020-04-30 22:00:00;1;2020;-0,9;False;IPC251856;3;-0,6
2020-05-31 22:00:00;1;2020;-0,3;False;IPC251856;3;-0,6
2020-06-30 22:00:00;1;2020;-0,6;False;IPC251856;3;-0,6
2020-07-31 22:00:00;1;2020;-0,5;False;IPC251856;4;-0,6
2020-08-31 22:00:00;1;2020;-0,4;False;IPC251856;4;-0,6
2020-09-30 22:00:00;1;2020;-0,8;False;IPC251856;4;-0,6
2020-10-31 23:00:00;1;2020;-0,8;False;IPC251856;1;-0,1
2020-11-30 23:00:00;1;2020;-0,5;False;IPC251856;1;-0,1
2020-12-31 23:00:00;1;2021;0,5;False;IPC251856;1;4,2
2021-01-31 23:00:00;1;2021;0,0;False;IPC251856;2;1,2
2021-02-28 23:00:00;1;2021;1,3;False;IPC251856;2;1,2
2021-03-31 22:00:00;1;2021;2,2;False;IPC251856;2;1,2
2021-04-30 22:00:00;1;2021;2,7;False;IPC251856;3;2,8
2021-05-31 22:00:00;1;2021;2,7;False;IPC251856;3;2,8
