Fecha;FK_TipoDato;Anyo;Valor;Secreto;REF_ID_RELACIONAL;Trimestre;Variacion_Porcentual_Trimestre
2006-12-31 23:00:00;1;2007;124,877;False;IPV712;1;0,0
2007-03-31 22:00:00;1;2007;128,738;False;IPV712;2;3,1
2007-06-30 22:00:00;1;2007;132,239;False;IPV712;3;2,7
2007-09-30 22:00:00;1;2007;134,502;False;IPV712;4;1,7
2007-12-31 23:00:00;1;2008;135,752;False;IPV712;1;0,9
2008-03-31 22:00:00;1;2008;133,204;False;IPV712;2;-1,9
2008-06-30 22:00:00;1;2008;133,498;False;IPV712;3;0,2
2008-09-30 22:00:00;1;2008;134,206;False;IPV712;4;0,5
2008-12-31 23:00:00;1;2009;135,458;False;IPV712;1;0,9
2009-03-31 22:00:00;1;2009;135,798;False;IPV712;2;0,3
2009-06-30 22:00:00;1;2009;138,571;False;IPV712;3;2,0
2009-09-30 22:00:00;1;2009;138,213;False;IPV712;4;-0,3
2009-12-31 23:00:00;1;2010;136,709;False;IPV712;1;-1,1
2010-03-31 22:00:00;1;2010;139,503;False;IPV712;2;2,0
2010-06-30 22:00:00;1;2010;137,833;False;IPV712;3;-1,2
2010-09-30 22:00:00;1;2010;136,67;False;IPV712;4;-0,8
2010-12-31 23:00:00;1;2011;129,296;False;IPV712;1;-5,4
2011-03-31 22:00:00;1;2011;128,49;False;IPV712;2;-0,6
2011-06-30 22:00:00;1;2011;124,349;False;IPV712;3;-3,2
2011-09-30 22:00:00;1;2011;117,212;False;IPV712;4;-5,7
2011-12-31 23:00:00;1;2012;113,399;False;IPV712;1;-3,3
2012-03-31 22:00:00;1;2012;111,003;False;IPV712;2;-2,1
2012-06-30 22:00:00;1;2012;109,499;False;IPV712;3;-1,4
2012-09-30 22:00:00;1;2012;106,3;False;IPV712;4;-2,9
2012-12-31 23:00:00;1;2013;96,948;False;IPV712;1;-8,8
2013-03-31 22:00:00;1;2013;96,248;False;IPV712;2;-0,7
2013-06-30 22:00:00;1;2013;96,051;False;IPV712;3;-0,2
2013-09-30 22:00:00;1;2013;95,428;False;IPV712;4;-0,6
2013-12-31 23:00:00;1;2014;95,304;False;IPV712;1;-0,1
2014-03-31 22:00:00;1;2014;97,005;False;IPV712;2;1,8
2014-06-30 22:00:00;1;2014;97,439;False;IPV712;3;0,4
2014-09-30 22:00:00;1;2014;96,653;False;IPV712;4;-0,8
2014-12-31 23:00:00;1;2015;95,551;False;IPV712;1;-1,1
2015-03-31 22:00:00;1;2015;100,468;False;IPV712;2;5,1
2015-06-30 22:00:00;1;2015;101,778;False;IPV712;3;1,3
2015-09-30 22:00:00;1;2015;102,202;False;IPV712;4;0,4
2015-12-31 23:00:00;1;2016;103,741;False;IPV712;1;1,5
2016-03-31 22:00:00;1;2016;106,378;False;IPV712;2;2,5
2016-06-30 22:00:00;1;2016;105,729;False;IPV712;3;-0,6
2016-09-30 22:00:00;1;2016;105,514;False;IPV712;4;-0,2
2016-12-31 23:00:00;1;2017;108,707;False;IPV712;1;3,0
2017-03-31 22:00:00;1;2017;110,49;False;IPV712;2;1,6
2017-06-30 22:00:00;1;2017;110,681;False;IPV712;3;0,2
2017-09-30 22:00:00;1;2017;113,62;False;IPV712;4;2,7
2017-12-31 23:00:00;1;2018;115,546;False;IPV712;1;1,7
2018-03-31 22:00:00;1;2018;119,341;False;IPV712;2;3,3
2018-06-30 22:00:00;1;2018;120,965;False;IPV712;3;1,4
2018-09-30 22:00:00;1;2018;122,196;False;IPV712;4;1,0
2018-12-31 23:00:00;1;2019;125,31;False;IPV712;1;2,5
2019-03-31 22:00:00;1;2019;124,154;False;IPV712;2;-0,9
2019-06-30 22:00:00;1;2019;127,46;False;IPV712;3;2,7
2019-09-30 22:00:00;1;2019;126,218;False;IPV712;4;-1,0
2019-12-31 23:00:00;1;2020;128,76;False;IPV712;1;2,0
2020-03-31 22:00:00;1;2020;130,29;False;IPV712;2;1,2
2020-06-30 22:00:00;1;2020;133,661;False;IPV712;3;2,6
2020-09-30 22:00:00;1;2020;133,064;False;IPV712;4;-0,4
2020-12-31 23:00:00;1;2021;134,954;False;IPV712;1;1,4
2021-03-31 22:00:00;1;2021;139,007;False;IPV712;2;3,0
2021-06-30 22:00:00;1;2021;142,563;False;IPV712;3;2,6
2021-09-30 22:00:00;1;2021;142,577;False;IPV712;4;0,0
2021-12-31 23:00:00;1;2022;147,76;False;IPV712;1;3,6
2022-03-31 22:00:00;1;2022;151,15;False;IPV712;2;2,3
2022-06-30 22:00:00;1;2022;152,976;False;IPV712;3;1,2
2022-09-30 22:00:00;1;2022;154,019;False;IPV712;4;0,7
2022-12-31 23:00:00;1;2023;156,969;False;IPV712;1;1,9
2023-03-31 22:00:00;1;2023;160,434;False;IPV712;2;2,2
2023-06-30 22:00:00;1;2023;161,958;False;IPV712;3;0,9
2023-09-30 22:00:00;1;2023;158,926;False;IPV712;4;-1,9
2023-12-31 23:00:00;1;2024;164,358;False;IPV712;1;3,4
2024-03-31 22:00:00;1;2024;171,953;False;IPV712;2;4,6
2024-06-30 22:00:00;1;2024;174,797;False;IPV712;3;1,7
2024-09-30 22:00:00;1;2024;178,326;False;IPV712;4;2,0
2024-12-31 23:00:00;1;2025;187,389;False;IPV712;1;5,1
2025-03-31 22:00:00;1;2025;194,975;False;IPV712;2;4,0
2025-06-30 22:00:00;1;2025;200,061;False;IPV712;3;2,6
2025-09-30 22:00:00;1;2025;201,063;False;IPV712;4;0,5
2006-12-31 23:00:00;1;2007;132,362;False;IPV715;1;0,0
2007-03-31 22:00:00;1;2007;134,757;False;IPV715;2;1,8
2007-06-30 22:00:00;1;2007;136,696;False;IPV715;3;1,4
2007-09-30 22:00:00;1;2007;140,135;False;IPV715;4;2,5
2007-12-31 23:00:00;1;2008;142,038;False;IPV715;1;1,4
2008-03-31 22:00:00;1;2008;139,932;False;IPV715;2;-1,5
2008-06-30 22:00:00;1;2008;135,607;False;IPV715;3;-3,1
2008-09-30 22:00:00;1;2008;132,167;False;IPV715;4;-2,5
2008-12-31 23:00:00;1;2009;133,875;False;IPV715;1;1,3
2009-03-31 22:00:00;1;2009;133,36;False;IPV715;2;-0,4
2009-06-30 22:00:00;1;2009;128,981;False;IPV715;3;-3,3
2009-09-30 22:00:00;1;2009;129,859;False;IPV715;4;0,7
2009-12-31 23:00:00;1;2010;128,259;False;IPV715;1;-1,2
2010-03-31 22:00:00;1;2010;127,833;False;IPV715;2;-0,3
2010-06-30 22:00:00;1;2010;123,554;False;IPV715;3;-3,3
2010-09-30 22:00:00;1;2010;126,418;False;IPV715;4;2,3
2010-12-31 23:00:00;1;2011;119,777;False;IPV715;1;-5,3
2011-03-31 22:00:00;1;2011;118,168;False;IPV715;2;-1,3
2011-06-30 22:00:00;1;2011;114,146;False;IPV715;3;-3,4
2011-09-30 22:00:00;1;2011;110,13;False;IPV715;4;-3,5
2011-12-31 23:00:00;1;2012;102,994;False;IPV715;1;-6,5
2012-03-31 22:00:00;1;2012;103,63;False;IPV715;2;0,6
2012-06-30 22:00:00;1;2012;98,552;False;IPV715;3;-4,9
2012-09-30 22:00:00;1;2012;100,115;False;IPV715;4;1,6
2012-12-31 23:00:00;1;2013;94,555;False;IPV715;1;-5,6
2013-03-31 22:00:00;1;2013;95,791;False;IPV715;2;1,3
2013-06-30 22:00:00;1;2013;94,759;False;IPV715;3;-1,1
2013-09-30 22:00:00;1;2013;94,231;False;IPV715;4;-0,6
2013-12-31 23:00:00;1;2014;93,798;False;IPV715;1;-0,5
2014-03-31 22:00:00;1;2014;95,46;False;IPV715;2;1,8
2014-06-30 22:00:00;1;2014;96,096;False;IPV715;3;0,7
2014-09-30 22:00:00;1;2014;95,173;False;IPV715;4;-1,0
2014-12-31 23:00:00;1;2015;95,735;False;IPV715;1;0,6
2015-03-31 22:00:00;1;2015;101,252;False;IPV715;2;5,8
2015-06-30 22:00:00;1;2015;101,799;False;IPV715;3;0,5
2015-09-30 22:00:00;1;2015;101,215;False;IPV715;4;-0,6
2015-12-31 23:00:00;1;2016;102,958;False;IPV715;1;1,7
2016-03-31 22:00:00;1;2016;105,497;False;IPV715;2;2,5
2016-06-30 22:00:00;1;2016;105,811;False;IPV715;3;0,3
2016-09-30 22:00:00;1;2016;106,354;False;IPV715;4;0,5
2016-12-31 23:00:00;1;2017;109,787;False;IPV715;1;3,2
2017-03-31 22:00:00;1;2017;111,457;False;IPV715;2;1,5
2017-06-30 22:00:00;1;2017;112,918;False;IPV715;3;1,3
2017-09-30 22:00:00;1;2017;114,842;False;IPV715;4;1,7
2017-12-31 23:00:00;1;2018;117,811;False;IPV715;1;2,6
2018-03-31 22:00:00;1;2018;121,003;False;IPV715;2;2,7
2018-06-30 22:00:00;1;2018;122,94;False;IPV715;3;1,6
2018-09-30 22:00:00;1;2018;125,311;False;IPV715;4;1,9
2018-12-31 23:00:00;1;2019;128,575;False;IPV715;1;2,6
2019-03-31 22:00:00;1;2019;130,592;False;IPV715;2;1,6
2019-06-30 22:00:00;1;2019;133,637;False;IPV715;3;2,3
2019-09-30 22:00:00;1;2019;131,854;False;IPV715;4;-1,3
2019-12-31 23:00:00;1;2020;134,821;False;IPV715;1;2,3
2020-03-31 22:00:00;1;2020;135,216;False;IPV715;2;0,3
2020-06-30 22:00:00;1;2020;139,489;False;IPV715;3;3,2
2020-09-30 22:00:00;1;2020;138,288;False;IPV715;4;-0,9
2020-12-31 23:00:00;1;2021;138,25;False;IPV715;1;0,0
2021-03-31 22:00:00;1;2021;139,038;False;IPV715;2;0,6
2021-06-30 22:00:00;1;2021;144,209;False;IPV715;3;3,7
2021-09-30 22:00:00;1;2021;146,641;False;IPV715;4;1,7
2021-12-31 23:00:00;1;2022;150,704;False;IPV715;1;2,8
2022-03-31 22:00:00;1;2022;152,246;False;IPV715;2;1,0
2022-06-30 22:00:00;1;2022;155,619;False;IPV715;3;2,2
2022-09-30 22:00:00;1;2022;158,378;False;IPV715;4;1,8
2022-12-31 23:00:00;1;2023;159,058;False;IPV715;1;0,4
2023-03-31 22:00:00;1;2023;161,66;False;IPV715;2;1,6
2023-06-30 22:00:00;1;2023;164,611;False;IPV715;3;1,8
2023-09-30 22:00:00;1;2023;165,638;False;IPV715;4;0,6
2023-12-31 23:00:00;1;2024;170,101;False;IPV715;1;2,7
2024-03-31 22:00:00;1;2024;176,973;False;IPV715;2;4,0
2024-06-30 22:00:00;1;2024;178,624;False;IPV715;3;0,9
2024-09-30 22:00:00;1;2024;184,569;False;IPV715;4;3,3
2024-12-31 23:00:00;1;2025;192,344;False;IPV715;1;4,2
2025-03-31 22:00:00;1;2025;199,398;False;IPV715;2;3,7
2025-06-30 22:00:00;1;2025;204,6;False;IPV715;3;2,6
2025-09-30 22:00:00;1;2025;209,084;False;IPV715;4;2,2
2006-12-31 23:00:00;1;2007;172,563;False;IPV716;1;0,0
2007-03-31 22:00:00;1;2007;179,009;False;IPV716;2;3,7
2007-06-30 22:00:00;1;2007;179,9;False;IPV716;3;0,5
2007-09-30 22:00:00;1;2007;179,16;False;IPV716;4;-0,4
2007-12-31 23:00:00;1;2008;178,993;False;IPV716;1;-0,1
2008-03-31 22:00:00;1;2008;171,829;False;IPV716;2;-4,0
2008-06-30 22:00:00;1;2008;165,247;False;IPV716;3;-3,8
2008-09-30 22:00:00;1;2008;162,387;False;IPV716;4;-1,7
2008-12-31 23:00:00;1;2009;156,264;False;IPV716;1;-3,8
2009-03-31 22:00:00;1;2009;156,954;False;IPV716;2;0,4
2009-06-30 22:00:00;1;2009;158,539;False;IPV716;3;1,0
2009-09-30 22:00:00;1;2009;161,005;False;IPV716;4;1,6
2009-12-31 23:00:00;1;2010;158,918;False;IPV716;1;-1,3
2010-03-31 22:00:00;1;2010;161,648;False;IPV716;2;1,7
2010-06-30 22:00:00;1;2010;155,584;False;IPV716;3;-3,8
2010-09-30 22:00:00;1;2010;156,582;False;IPV716;4;0,6
2010-12-31 23:00:00;1;2011;144,599;False;IPV716;1;-7,7
2011-03-31 22:00:00;1;2011;142,965;False;IPV716;2;-1,1
2011-06-30 22:00:00;1;2011;136,609;False;IPV716;3;-4,4
2011-09-30 22:00:00;1;2011;130,62;False;IPV716;4;-4,4
2011-12-31 23:00:00;1;2012;124,3;False;IPV716;1;-4,8
2012-03-31 22:00:00;1;2012;118,011;False;IPV716;2;-5,1
2012-06-30 22:00:00;1;2012;112,998;False;IPV716;3;-4,2
2012-09-30 22:00:00;1;2012;110,893;False;IPV716;4;-1,9
2012-12-31 23:00:00;1;2013;101,387;False;IPV716;1;-8,6
2013-03-31 22:00:00;1;2013;100,094;False;IPV716;2;-1,3
2013-06-30 22:00:00;1;2013;101,142;False;IPV716;3;1,0
2013-09-30 22:00:00;1;2013;99,687;False;IPV716;4;-1,4
2013-12-31 23:00:00;1;2014;98,66;False;IPV716;1;-1,0
2014-03-31 22:00:00;1;2014;99,995;False;IPV716;2;1,4
2014-06-30 22:00:00;1;2014;99,795;False;IPV716;3;-0,2
2014-09-30 22:00:00;1;2014;100,031;False;IPV716;4;0,2
2014-12-31 23:00:00;1;2015;97,199;False;IPV716;1;-2,8
2015-03-31 22:00:00;1;2015;101,295;False;IPV716;2;4,2
2015-06-30 22:00:00;1;2015;100,301;False;IPV716;3;-1,0
2015-09-30 22:00:00;1;2015;101,205;False;IPV716;4;0,9
2015-12-31 23:00:00;1;2016;100,835;False;IPV716;1;-0,4
2016-03-31 22:00:00;1;2016;101,374;False;IPV716;2;0,5
2016-06-30 22:00:00;1;2016;101,483;False;IPV716;3;0,1
2016-09-30 22:00:00;1;2016;100,834;False;IPV716;4;-0,6
2016-12-31 23:00:00;1;2017;102,418;False;IPV716;1;1,6
2017-03-31 22:00:00;1;2017;103,197;False;IPV716;2;0,8
2017-06-30 22:00:00;1;2017;102,842;False;IPV716;3;-0,3
2017-09-30 22:00:00;1;2017;104,506;False;IPV716;4;1,6
2017-12-31 23:00:00;1;2018;105,411;False;IPV716;1;0,9
2018-03-31 22:00:00;1;2018;107,43;False;IPV716;2;1,9
2018-06-30 22:00:00;1;2018;109,536;False;IPV716;3;2,0
2018-09-30 22:00:00;1;2018;110,033;False;IPV716;4;0,5
2018-12-31 23:00:00;1;2019;111,841;False;IPV716;1;1,6
2019-03-31 22:00:00;1;2019;113,791;False;IPV716;2;1,7
2019-06-30 22:00:00;1;2019;114,193;False;IPV716;3;0,4
2019-09-30 22:00:00;1;2019;114,693;False;IPV716;4;0,4
2019-12-31 23:00:00;1;2020;115,313;False;IPV716;1;0,5
2020-03-31 22:00:00;1;2020;116,008;False;IPV716;2;0,6
2020-06-30 22:00:00;1;2020;114,734;False;IPV716;3;-1,1
2020-09-30 22:00:00;1;2020;115,239;False;IPV716;4;0,4
