COD;Nombre;FK_Unidad;FK_Escala;ID_RELACIONAL
IPV769;Total Nacional. General. Índice. ;133;1;IPV769
IPV949;Total Nacional. General. Variación trimestral. ;135;1;IPV949
IPV948;Total Nacional. General. Variación anual. ;135;1;IPV948
IPV947;Total Nacional. General. Variación en lo que va de año. ;135;1;IPV947
IPV768;Total Nacional. Vivienda nueva. Índice. ;133;1;IPV768
IPV946;Total Nacional. Vivienda nueva. Variación trimestral. ;135;1;IPV946
IPV945;Total Nacional. Vivienda nueva. Variación anual. ;135;1;IPV945
IPV944;Total Nacional. Vivienda nueva. Variación en lo que va de año. ;135;1;IPV944
IPV767;Total Nacional. Vivienda segunda mano. Índice. ;133;1;IPV767
IPV943;Total Nacional. Vivienda segunda mano. Variación trimestral. ;135;1;IPV943
IPV942;Total Nacional. Vivienda segunda mano. Variación anual. ;135;1;IPV942
IPV941;Total Nacional. Vivienda segunda mano. Variación en lo que va de año. ;135;1;IPV941
IPV766;Andalucía. General. Índice. ;133;1;IPV766
IPV940;Andalucía. General. Variación trimestral. ;135;1;IPV940
IPV939;Andalucía. General. Variación anual. ;135;1;IPV939
IPV938;Andalucía. General. Variación en lo que va de año. ;135;1;IPV938
IPV765;Andalucía. Vivienda nueva. Índice. ;133;1;IPV765
IPV937;Andalucía. Vivienda nueva. Variación trimestral. ;135;1;IPV937
IPV936;Andalucía. Vivienda nueva. Variación anual. ;135;1;IPV936
IPV935;Andalucía. Vivienda nueva. Variación en lo que va de año. ;135;1;IPV935
IPV764;Andalucía. Vivienda segunda mano. Índice. ;133;1;IPV764
IPV934;Andalucía. Vivienda segunda mano. Variación trimestral. ;135;1;IPV934
IPV933;Andalucía. Vivienda segunda mano. Variación anual. ;135;1;IPV933
IPV932;Andalucía. Vivienda segunda mano. Variación en lo que va de año. ;135;1;IPV932
IPV763;Aragón. General. Índice. ;133;1;IPV763
IPV931;Aragón. General. Variación trimestral. ;135;1;IPV931
IPV930;Aragón. General. Variación anual. ;135;1;IPV930
IPV929;Aragón. General. Variación en lo que va de año. ;135;1;IPV929
IPV762;Aragón. Vivienda nueva. Índice. ;133;1;IPV762
IPV928;Aragón. Vivienda nueva. Variación trimestral. ;135;1;IPV928
IPV927;Aragón. Vivienda nueva. Variación anual. ;135;1;IPV927
IPV926;Aragón. Vivienda nueva. Variación en lo que va de año. ;135;1;IPV926
IPV761;Aragón. Vivienda segunda mano. Índice. ;133;1;IPV761
IPV925;Aragón. Vivienda segunda mano. Variación trimestral. ;135;1;IPV925
IPV924;Aragón. Vivienda segunda mano. Variación anual. ;135;1;IPV924
IPV923;Aragón. Vivienda segunda mano. Variación en lo que va de año. ;135;1;IPV923
IPV760;Asturias, Principado de. General. Índice. ;133;1;IPV760
IPV922;Asturias, Principado de. General. Variación trimestral. ;135;1;IPV922
IPV921;Asturias, Principado de. General. Variación anual. ;135;1;IPV921
