id,Fecha,FK_Periodo,Anyo,Valor,Id_ipv
1,2025-07-01T00:00:00.000000,21,2025,183.389,1
2,2025-04-01T00:00:00.000000,20,2025,178.184,1
3,2025-01-01T00:00:00.000000,19,2025,171.296,1
4,2024-10-01T00:00:00.000000,22,2024,165.433,1
5,2024-07-01T00:00:00.000000,21,2024,162.521,1
6,2024-04-01T00:00:00.000000,20,2024,158.083,1
7,2024-01-01T00:00:00.000000,19,2024,152.618,1
8,2023-10-01T00:00:00.000000,22,2023,148.69,1
9,2023-07-01T00:00:00.000000,21,2023,150.273,1
10,2023-04-01T00:00:00.000000,20,2023,146.583,1
11,2023-01-01T00:00:00.000000,19,2023,143.58,1
12,2022-10-01T00:00:00.000000,22,2022,142.666,1
13,2022-07-01T00:00:00.000000,21,2022,143.86,1
14,2022-04-01T00:00:00.000000,20,2022,141.433,1
15,2022-01-01T00:00:00.000000,19,2022,138.742,1
16,2021-10-01T00:00:00.000000,22,2021,135.291,1
17,2021-07-01T00:00:00.000000,21,2021,133.652,1
18,2021-04-01T00:00:00.000000,20,2021,130.937,1
19,2021-01-01T00:00:00.000000,19,2021,127.831,1
20,2020-10-01T00:00:00.000000,22,2020,127.179,1
21,2020-07-01T00:00:00.000000,21,2020,128.255,1
22,2020-04-01T00:00:00.000000,20,2020,126.799,1
23,2020-01-01T00:00:00.000000,19,2020,126.695,1
24,2019-10-01T00:00:00.000000,22,2019,125.32,1
25,2019-07-01T00:00:00.000000,21,2019,126.135,1
26,2019-04-01T00:00:00.000000,20,2019,124.175,1
27,2019-01-01T00:00:00.000000,19,2019,122.758,1
28,2018-10-01T00:00:00.000000,22,2018,120.954,1
29,2018-07-01T00:00:00.000000,21,2018,120.491,1
30,2018-04-01T00:00:00.000000,20,2018,117.941,1
31,2018-01-01T00:00:00.000000,19,2018,114.994,1
32,2017-10-01T00:00:00.000000,22,2017,113.457,1
33,2017-07-01T00:00:00.000000,21,2017,112.442,1
34,2017-04-01T00:00:00.000000,20,2017,110.41,1
35,2017-01-01T00:00:00.000000,19,2017,108.239,1
36,2016-10-01T00:00:00.000000,22,2016,105.848,1
37,2016-07-01T00:00:00.000000,21,2016,105.431,1
38,2016-04-01T00:00:00.000000,20,2016,104.601,1
39,2016-01-01T00:00:00.000000,19,2016,102.775,1
40,2015-10-01T00:00:00.000000,22,2015,101.305,1
41,2015-07-01T00:00:00.000000,21,2015,101.358,1
42,2015-04-01T00:00:00.000000,20,2015,100.687,1
43,2015-01-01T00:00:00.000000,19,2015,96.651,1
44,2014-10-01T00:00:00.000000,22,2014,97.194,1
45,2014-07-01T00:00:00.000000,21,2014,97.002,1
