id,COD,Nombre
1,IPV769,Total Nacional. General. Índice. 
2,IPV949,Total Nacional. General. Variación trimestral. 
3,IPV948,Total Nacional. General. Variación anual. 
4,IPV947,Total Nacional. General. Variación en lo que va de año. 
5,IPV768,Total Nacional. Vivienda nueva. Índice. 
6,IPV946,Total Nacional. Vivienda nueva. Variación trimestral. 
7,IPV945,Total Nacional. Vivienda nueva. Variación anual. 
8,IPV944,Total Nacional. Vivienda nueva. Variación en lo que va de año. 
9,IPV767,Total Nacional. Vivienda segunda mano. Índice. 
10,IPV943,Total Nacional. Vivienda segunda mano. Variación trimestral. 
11,IPV942,Total Nacional. Vivienda segunda mano. Variación anual. 
12,IPV941,Total Nacional. Vivienda segunda mano. Variación en lo que va de año. 
13,IPV766,Andalucía. General. Índice. 
14,IPV940,Andalucía. General. Variación trimestral. 
15,IPV939,Andalucía. General. Variación anual. 
16,IPV938,Andalucía. General. Variación en lo que va de año. 
17,IPV765,Andalucía. Vivienda nueva. Índice. 
18,IPV937,Andalucía. Vivienda nueva. Variación trimestral. 
19,IPV936,Andalucía. Vivienda nueva. Variación anual. 
20,IPV935,Andalucía. Vivienda nueva. Variación en lo que va de año. 
21,IPV764,Andalucía. Vivienda segunda mano. Índice. 
22,IPV934,Andalucía. Vivienda segunda mano. Variación trimestral. 
23,IPV933,Andalucía. Vivienda segunda mano. Variación anual. 
24,IPV932,Andalucía. Vivienda segunda mano. Variación en lo que va de año. 
25,IPV763,Aragón. General. Índice. 
26,IPV931,Aragón. General. Variación trimestral. 
27,IPV930,Aragón. General. Variación anual. 
28,IPV929,Aragón. General. Variación en lo que va de año. 
29,IPV762,Aragón. Vivienda nueva. Índice. 
30,IPV928,Aragón. Vivienda nueva. Variación trimestral. 
31,IPV927,Aragón. Vivienda nueva. Variación anual. 
32,IPV926,Aragón. Vivienda nueva. Variación en lo que va de año. 
33,IPV761,Aragón. Vivienda segunda mano. Índice. 
34,IPV925,Aragón. Vivienda segunda mano. Variación trimestral. 
35,IPV924,Aragón. Vivienda segunda mano. Variación anual. 
36,IPV923,Aragón. Vivienda segunda mano. Variación en lo que va de año. 
37,IPV760,"Asturias, Principado de. General. Índice. "
38,IPV922,"Asturias, Principado de. General. Variación trimestral. "
39,IPV921,"Asturias, Principado de. General. Variación anual. "
40,IPV920,"Asturias, Principado de. General. Variación en lo que va de año. "
41,IPV759,"Asturias, Principado de. Vivienda nueva. Índice. "
42,IPV919,"Asturias, Principado de. Vivienda nueva. Variación trimestral. "
43,IPV918,"Asturias, Principado de. Vivienda nueva. Variación anual. "
44,IPV917,"Asturias, Principado de. Vivienda nueva. Variación en lo que va de año. "
45,IPV758,"Asturias, Principado de. Vivienda segunda mano. Índice. "
46,IPV916,"Asturias, Principado de. Vivienda segunda mano. Variación trimestral. "
47,IPV915,"Asturias, Principado de. Vivienda segunda mano. Variación anual. "
48,IPV914,"Asturias, Principado de. Vivienda segunda mano. Variación en lo que va de año. "
49,IPV757,"Balears, Illes. General. Índice. "
50,IPV913,"Balears, Illes. General. Variación trimestral. "
51,IPV912,"Balears, Illes. General. Variación anual. "
52,IPV911,"Balears, Illes. General. Variación en lo que va de año. "
53,IPV756,"Balears, Illes. Vivienda nueva. Índice. "
54,IPV910,"Balears, Illes. Vivienda nueva. Variación trimestral. "
55,IPV909,"Balears, Illes. Vivienda nueva. Variación anual. "
56,IPV908,"Balears, Illes. Vivienda nueva. Variación en lo que va de año. "
57,IPV755,"Balears, Illes. Vivienda segunda mano. Índice. "
58,IPV907,"Balears, Illes. Vivienda segunda mano. Variación trimestral. "
59,IPV906,"Balears, Illes. Vivienda segunda mano. Variación anual. "
60,IPV905,"Balears, Illes. Vivienda segunda mano. Variación en lo que va de año. "
61,IPV754,Canarias. General. Índice. 
62,IPV904,Canarias. General. Variación trimestral. 
63,IPV903,Canarias. General. Variación anual. 
64,IPV902,Canarias. General. Variación en lo que va de año. 
65,IPV753,Canarias. Vivienda nueva. Índice. 
66,IPV901,Canarias. Vivienda nueva. Variación trimestral. 
67,IPV900,Canarias. Vivienda nueva. Variación anual. 
68,IPV899,Canarias. Vivienda nueva. Variación en lo que va de año. 
69,IPV752,Canarias. Vivienda segunda mano. Índice. 
